"","subject","age.x","sex.x","Antisocial_Asses1","Antisocial_Asses2","Antisocial_Asses3","Antisocial_Asses4","Antisocial_Asses5","Antisocial_HowMany1","Antisocial_HowMany2","Antisocial_HowMany3","Antisocial_HowMany4","Antisocial_HowMany5","Antisocial_HowOften1","Antisocial_HowOften2","Antisocial_HowOften3","Antisocial_HowOften4","Antisocial_HowOften5","Antisocial_Recom1","Antisocial_Recom2","Antisocial_Recom3","Antisocial_Recom4","Antisocial_Recom5","IU1","IU10","IU11","IU12","IU2","IU3","IU4","IU5","IU6","IU7","IU8","IU9","PDS1","PDS2","PDS3","Pref1","Pref10","Pref11","Pref2","Pref3","Pref4","Pref5","Pref6","Pref7","Pref8","Pref9","Rebel_Asses1","Rebel_Asses2","Rebel_Asses3","Rebel_Asses4","Rebel_Asses5","Rebel_HowMany1","Rebel_HowMany2","Rebel_HowMany3","Rebel_HowMany4","Rebel_HowMany5","Rebel_HowOften1","Rebel_HowOften2","Rebel_HowOften3","Rebel_HowOften4","Rebel_HowOften5","Rebel_Recom1","Rebel_Recom2","Rebel_Recom3","Rebel_Recom4","Rebel_Recom5","Reckless_Asses1","Reckless_Asses2","Reckless_Asses3","Reckless_Asses4","Reckless_Asses5","Reckless_HowMany1","Reckless_HowMany2","Reckless_HowMany3","Reckless_HowMany4","Reckless_HowMany5","Reckless_HowOften1","Reckless_HowOften2","Reckless_HowOften3","Reckless_HowOften4","Reckless_HowOften5","Reckless_Recom1","Reckless_Recom2","Reckless_Recom3","Reckless_Recom4","Reckless_Recom5","SOEP","Thrill_Asses1","Thrill_Asses2","Thrill_Asses3","Thrill_Asses4","Thrill_Asses5","Thrill_Asses6","Thrill_Asses7","Thrill_HowMany1","Thrill_HowMany2","Thrill_HowMany3","Thrill_HowMany4","Thrill_HowMany5","Thrill_HowMany6","Thrill_HowMany7","Thrill_HowOften1","Thrill_HowOften2","Thrill_HowOften3","Thrill_HowOften4","Thrill_HowOften5","Thrill_HowOften6","Thrill_HowOften7","Thrill_Recom1","Thrill_Recom2","Thrill_Recom3","Thrill_Recom4","Thrill_Recom5","Thrill_Recom6","Thrill_Recom7","SumAntisocial","SumAntisocial_HowMany","SumAntisocial_HowOften","SumAntisocial_Recom","SumThrill","SumThrill_HowMany","SumThrill_HowOften","SumThrill_Recom","SumReckless","SumReckless_HowMany","SumReckless_HowOften","SumReckless_Recom","SumRebel","SumRebel_HowMany","SumRebel_HowOften","SumRebel_Recom","SumIU","meanChangeTowardsRisky_Uncertain_0","meanChangeTowardsRisky_Uncertain_1","meanChangeTowardsSafe_Uncertain_0","meanChangeTowardsSafe_Uncertain_1","MinInEyesSum","numberFowards","numberBackwards","cftScore"
"1",1,"11","Weiblich",3,3,3,2,3,2,2,1,1,2,1,1,1,1,1,0,0,0,0,2,3,1,3,4,3,1,4,1,0,0,0,0,1,2,0,0,0,1,2,3,0,1,1,3,3,0,3,4,4,4,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,4,3,2,3,3,3,0,0,0,2,2,0,4,2,1,1,1,2,6,3,2,2,4,1,3,3,4,3,4,1,4,4,1,0,2,1,0,2,2,0,2,4,3,0,4,3,1,14,8,5,2,18,21,7,17,15,9,8,7,18,4,0,1,20,0.25,0.285714285714286,0.125,0,NA,6,10,15
"2",2,"10","Weiblich",1,2,2,2,1,1,1,1,1,0,2,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3,2,1,3,3,3,3,2,0,1,2,3,1,3,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,2,2,2,1,1,0,1,1,1,3,1,1,1,1,2,1,1,1,1,2,6,2,2,2,1,1,1,2,2,0,1,0,4,2,0,2,0,1,1,4,3,0,1,0,1,1,2,2,0,8,4,4,2,11,9,11,7,8,6,6,6,11,4,1,1,10,0,0,-0.75,-0.875,9,7,9,14
"3",3,"12","Maennlich",2,4,4,2,3,2,1,2,3,3,1,0,0,1,1,2,0,0,2,1,1,2,2,3,2,2,2,3,1,1,3,2,2,1,1,1,0,1,3,0,1,2,2,2,3,0,2,4,3,3,1,2,1,0,0,1,0,0,0,0,3,2,0,0,0,3,3,2,1,2,1,0,1,1,1,4,0,0,1,0,4,1,0,0,0,2,2,1,2,2,1,1,1,3,4,1,2,1,4,3,1,1,0,0,0,4,3,0,4,3,2,3,4,3,0,15,11,3,5,11,16,8,19,9,7,5,3,13,4,3,5,24,-0.0357142857142857,-0.0357142857142857,0,0.125,16,7,12,14
"4",4,"10","Maennlich",0,3,3,2,2,0,2,0,0,0,2,1,1,1,2,2,1,0,2,1,1,1,2,4,1,2,2,2,2,2,2,2,0,0,1,1,0,2,2,0,2,0,0,3,2,0,3,3,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,3,2,3,2,0,0,2,0,0,1,1,0,0,4,1,0,2,0,2,6,3,2,2,2,0,2,3,2,1,1,0,4,0,0,0,0,1,0,4,0,0,3,3,3,2,4,4,0,10,2,7,6,14,8,5,19,14,2,6,5,15,1,1,2,23,NA,NA,NA,NA,NA,7,7,11
"5",5,"12","Weiblich",3,4,4,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0,0,1,1,2,1,0,1,1,1,3,0,2,2,2,2,0,0,2,2,0,3,4,4,4,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,3,2,2,3,1,1,1,1,0,3,0,1,1,0,0,0,1,1,1,3,5,1,2,2,3,1,2,3,3,0,1,0,2,2,0,4,1,1,0,3,3,0,4,2,3,3,4,3,0,16,1,1,0,14,8,12,19,11,6,2,6,18,4,0,3,13,0.0833333333333333,-0.0833333333333333,-0.25,-0.0833333333333333,24,9,7,15
"6",6,"12","Weiblich",1,4,3,1,1,4,2,0,3,2,3,0,0,2,1,1,0,0,1,0,2,4,1,2,2,1,0,4,3,4,1,0,3,2,0,2,0,0,2,0,0,3,0,2,2,0,2,3,3,4,3,2,2,1,2,4,0,0,0,0,3,0,1,0,0,2,2,3,2,3,2,0,3,3,1,4,0,3,4,0,4,0,0,1,0,3,3,3,1,1,3,1,2,1,2,1,3,0,4,4,2,0,0,1,0,2,4,0,3,3,3,2,4,3,0,10,11,6,2,12,16,7,18,12,11,11,4,15,11,3,3,24,0.0714285714285714,0.0714285714285714,0.375,0.25,20,10,13,13
"7",7,"12","Maennlich",4,4,1,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,3,1,1,1,3,0,1,1,3,1,1,0,1,1,3,1,3,0,3,1,1,2,0,0,2,3,3,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,3,3,0,3,4,1,4,0,1,1,0,4,0,0,0,0,2,8,3,3,1,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,4,1,0,3,3,4,1,4,2,0,13,1,2,1,11,4,7,17,14,12,6,2,14,5,0,0,15,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,18,8,12,9
"8",8,"11","Weiblich",1,3,3,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,1,1,0,0,1,0,2,0,1,2,2,0,3,0,0,2,0,3,2,0,3,2,1,4,4,4,4,1,1,2,0,0,2,0,0,0,0,1,0,0,0,0,2,4,3,4,3,2,0,2,2,0,4,0,0,0,0,3,0,0,0,0,3,5,2,3,2,3,1,4,4,0,1,1,0,3,1,0,0,1,2,0,4,0,0,2,2,2,1,4,0,0,12,1,1,2,19,6,7,11,16,8,3,3,17,5,1,2,10,0.0416666666666667,-0.0416666666666667,0,0.0833333333333333,22,8,13,14
"9",9,"11","Weiblich",2,3,3,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,1,3,0,1,2,0,3,0,0,3,1,0,3,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,0,0,2,1,2,0,0,1,0,1,0,0,0,0,0,2,2,2,2,3,1,1,2,0,1,1,0,4,2,0,0,2,1,0,4,1,1,1,2,2,1,4,1,0,12,1,1,1,13,8,9,11,10,5,2,0,14,1,0,1,5,0,0.0833333333333333,-0.0833333333333333,-0.0833333333333333,21,2,10,12
"10",10,"10","Weiblich",2,3,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,2,0,0,0,1,1,1,0,0,2,2,0,2,1,3,3,0,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,3,2,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,16,0,1,0,20,0,2,2,17,0,1,0,19,0,0,0,9,0.0357142857142857,-0.0357142857142857,-0.375,-0.375,18,8,7,7
