"","sex","age","subject"
"1","Weiblich",11,1
"2","Weiblich",10,2
"3","Maennlich",12,3
"4","Weiblich",12,5
"5","Weiblich",12,6
"6","Maennlich",12,7
"7","Weiblich",11,8
"8","Weiblich",11,9
"9","Weiblich",10,10
"10","Weiblich",10,11
"11","Maennlich",11,12
"12","Weiblich",11,13
"13","Weiblich",12,14
"14","Weiblich",12,15
"15","Weiblich",13,16
"16","Weiblich",12,17
"17","Weiblich",11,18
"18","Weiblich",11,19
"19","Maennlich",10,20
"20","Weiblich",11,21
"21","Maennlich",11,22
"22","Weiblich",11,23
"23","Weiblich",11,24
"24","Maennlich",11,25
"25","Maennlich",11,27
"26","Weiblich",11,28
"27","Maennlich",13,30
"28","Weiblich",10,31
"29","Maennlich",11,32
"30","Maennlich",11,33
"31","Weiblich",11,34
"32","Weiblich",11,35
"33","Weiblich",10,36
"34","Weiblich",10,43
"35","Maennlich",12,47
"36","Weiblich",10,48
"37","Maennlich",10,49
"38","Weiblich",10,50
"39","Maennlich",16,51
"40","Maennlich",17,52
"41","Weiblich",14,53
"42","Weiblich",18,54
"43","Maennlich",16,56
"44","Weiblich",13,57
"45","Maennlich",17,58
"46","Maennlich",13,59
"47","Weiblich",13,60
"48","Weiblich",16,61
"49","Weiblich",13,62
"50","Maennlich",14,64
"51","Maennlich",17,65
"52","Maennlich",15,66
"53","Maennlich",15,67
"54","Maennlich",17,68
"55","Maennlich",14,69
"56","Maennlich",14,70
"57","Weiblich",15,71
"58","Maennlich",15,72
"59","Weiblich",16,73
"60","Weiblich",15,74
"61","Maennlich",14,75
"62","Maennlich",15,76
"63","Maennlich",16,77
"64","Weiblich",17,78
"65","Maennlich",16,79
"66","Maennlich",15,80
"67","Maennlich",15,81
"68","Maennlich",16,82
"69","Weiblich",15,83
"70","Maennlich",14,84
"71","Maennlich",17,85
"72","Maennlich",14,86
"73","Maennlich",13,87
"74","Weiblich",15,88
"75","Maennlich",16,90
"76","Maennlich",13,91
"77","Maennlich",14,92
"78","Maennlich",14,93
"79","Weiblich",16,94
"80","Maennlich",14,95
"81","Maennlich",15,96
"82","Maennlich",15,99
"83","Weiblich",20,101
"84","Weiblich",19,102
"85","Maennlich",20,103
"86","Weiblich",18,104
"87","Maennlich",19,105
"88","Weiblich",24,109
"89","Maennlich",25,110
"90","Weiblich",25,111
"91","Weiblich",24,112
"92","Maennlich",25,113
"93","Weiblich",25,114
"94","Weiblich",23,121
"95","Weiblich",21,122
"96","Maennlich",21,123
"97","Maennlich",22,124
"98","Maennlich",22,125
"99","Weiblich",21,126
"100","Maennlich",23,133
"101","Maennlich",22,134
"102","Weiblich",20,135
"103","Weiblich",23,136
"104","Weiblich",18,137
"105","Maennlich",21,138
"106","Weiblich",25,139
"107","Maennlich",23,140
"108","Maennlich",24,141
"109","Maennlich",21,142
"110","Maennlich",24,143
"111","Maennlich",22,144
"112","Maennlich",23,145
"113","Weiblich",22,146
"114","Maennlich",22,147
"115","Maennlich",22,148
"116","Weiblich",25,149
"117","Maennlich",23,150
"118","Maennlich",13,151
"119","Maennlich",10,152
"120","Maennlich",10,153
"121","Maennlich",10,154
"122","Maennlich",10,155
"123","Maennlich",10,156
"124","Maennlich",10,157
"125","Maennlich",12,158
"126","Maennlich",13,159
"127","Maennlich",12,160
"128","Maennlich",12,161
"129","Maennlich",13,162
"130","Maennlich",12,163
"131","Weiblich",12,164
"132","Weiblich",12,165
"133","Weiblich",14,166
"134","Weiblich",14,167
"135","Weiblich",16,168
"136","Weiblich",16,169
"137","Weiblich",16,170
"138","Maennlich",18,171
"139","Maennlich",18,172
"140","Maennlich",17,173
"141","Weiblich",17,174
"142","Weiblich",17,175
"143","Weiblich",17,176
"144","Maennlich",18,177
"145","Maennlich",18,178
"146","Maennlich",18,179
"147","Maennlich",18,180
"148","Weiblich",18,181
"149","Weiblich",18,182
"150","Weiblich",18,183
"151","Maennlich",19,185
"152","Maennlich",19,186
"153","Maennlich",19,187
"154","Weiblich",19,188
"155","Weiblich",19,189
"156","Weiblich",19,190
"157","Weiblich",19,191
"158","Maennlich",20,192
"159","Maennlich",20,193
"160","Maennlich",20,194
"161","Maennlich",20,195
"162","Weiblich",20,196
"163","Weiblich",21,197
"164","Weiblich",20,198
"165","Weiblich",20,199
"166","Maennlich",19,200
