"","subject","Game","sex","age"
"1",32,"game.1","Maennlich",11
"2",54,"game.2","Weiblich",18
"3",54,"game.3","Weiblich",18
"4",152,"game.1","Maennlich",10
"5",152,"game.4","Maennlich",10
"6",152,"game.2","Maennlich",10
"7",152,"game.3","Maennlich",10
"8",153,"game.1","Maennlich",10
"9",153,"game.4","Maennlich",10
"10",153,"game.2","Maennlich",10
"11",153,"game.3","Maennlich",10
"12",154,"game.4","Maennlich",10
"13",154,"game.2","Maennlich",10
"14",154,"game.1","Maennlich",10
"15",154,"game.3","Maennlich",10
"16",157,"game.3","Maennlich",10
"17",157,"game.2","Maennlich",10
"18",157,"game.4","Maennlich",10
"19",157,"game.1","Maennlich",10
"20",158,"game.1","Maennlich",12
"21",158,"game.4","Maennlich",12
"22",158,"game.2","Maennlich",12
"23",158,"game.3","Maennlich",12
"24",159,"game.1","Maennlich",13
"25",159,"game.2","Maennlich",13
"26",159,"game.3","Maennlich",13
"27",159,"game.4","Maennlich",13
"28",162,"game.4","Maennlich",13
"29",162,"game.3","Maennlich",13
"30",162,"game.1","Maennlich",13
"31",164,"game.2","Weiblich",12
"32",164,"game.4","Weiblich",12
"33",164,"game.3","Weiblich",12
"34",164,"game.1","Weiblich",12
"35",165,"game.2","Weiblich",12
"36",166,"game.4","Weiblich",14
"37",166,"game.1","Weiblich",14
"38",166,"game.3","Weiblich",14
"39",166,"game.2","Weiblich",14
"40",167,"game.1","Weiblich",14
"41",167,"game.3","Weiblich",14
"42",167,"game.4","Weiblich",14
"43",167,"game.2","Weiblich",14
"44",168,"game.3","Weiblich",16
"45",168,"game.4","Weiblich",16
"46",168,"game.2","Weiblich",16
"47",168,"game.1","Weiblich",16
"48",169,"game.2","Weiblich",16
"49",169,"game.4","Weiblich",16
"50",169,"game.1","Weiblich",16
"51",169,"game.3","Weiblich",16
"52",170,"game.4","Weiblich",16
"53",170,"game.1","Weiblich",16
"54",170,"game.3","Weiblich",16
"55",170,"game.2","Weiblich",16
"56",171,"game.1","Maennlich",18
"57",171,"game.3","Maennlich",18
"58",171,"game.2","Maennlich",18
"59",177,"game.1","Maennlich",18
"60",177,"game.4","Maennlich",18
"61",177,"game.3","Maennlich",18
"62",177,"game.2","Maennlich",18
"63",184,"game.1",NA,NA
"64",184,"game.4",NA,NA
"65",184,"game.3",NA,NA
"66",185,"game.1","Maennlich",19
"67",185,"game.2","Maennlich",19
"68",185,"game.4","Maennlich",19
"69",185,"game.3","Maennlich",19
"70",188,"game.4","Weiblich",19
"71",188,"game.2","Weiblich",19
"72",188,"game.1","Weiblich",19
"73",188,"game.3","Weiblich",19
"74",189,"game.2","Weiblich",19
"75",189,"game.4","Weiblich",19
"76",189,"game.1","Weiblich",19
"77",189,"game.3","Weiblich",19
"78",192,"game.1","Maennlich",20
"79",192,"game.2","Maennlich",20
"80",192,"game.4","Maennlich",20
"81",192,"game.3","Maennlich",20
"82",193,"game.1","Maennlich",20
"83",193,"game.2","Maennlich",20
"84",193,"game.3","Maennlich",20
"85",193,"game.4","Maennlich",20
"86",196,"game.2","Weiblich",20
"87",196,"game.1","Weiblich",20
"88",196,"game.3","Weiblich",20
"89",196,"game.4","Weiblich",20
"90",197,"game.1","Weiblich",21
"91",197,"game.2","Weiblich",21
"92",197,"game.4","Weiblich",21
"93",197,"game.3","Weiblich",21
