"","subject","MinInEyesSum"
"1",2,9
"2",3,16
"3",4,11
"4",5,24
"5",6,20
"6",7,18
"7",8,22
"8",9,21
"9",10,18
"10",11,15
"11",12,5
"12",13,18
"13",14,21
"14",15,21
"15",16,22
"16",17,22
"17",18,17
"18",19,16
"19",20,15
"20",21,16
"21",22,18
"22",23,18
"23",24,17
"24",25,21
"25",26,9
"26",27,12
"27",28,24
"28",29,20
"29",30,12
"30",31,15
"31",32,21
"32",33,16
"33",34,16
"34",35,18
"35",36,18
"36",37,21
"37",38,16
"38",39,18
"39",40,16
"40",41,15
"41",42,21
"42",43,15
"43",44,14
"44",45,11
"45",46,21
"46",47,18
"47",48,10
"48",49,21
"49",50,20
"50",51,18
"51",52,22
"52",53,14
"53",54,20
"54",61,19
"55",62,17
"56",63,18
"57",64,14
"58",65,18
"59",66,16
"60",67,21
"61",68,19
"62",69,23
"63",70,16
"64",71,20
"65",72,21
"66",73,19
"67",74,22
"68",75,22
"69",76,20
"70",77,19
"71",78,21
"72",79,17
"73",80,20
"74",81,20
"75",82,22
"76",83,20
"77",84,17
"78",85,18
"79",86,20
"80",87,20
"81",88,22
"82",89,21
"83",90,17
"84",91,22
"85",92,24
"86",93,21
"87",94,21
"88",95,21
"89",96,23
"90",97,15
"91",98,18
"92",99,14
"93",100,21
"94",103,23
"95",104,19
"96",105,25
"97",106,26
"98",107,22
"99",108,24
"100",109,18
"101",110,22
"102",111,22
"103",112,22
"104",113,24
"105",114,24
"106",115,26
"107",116,27
"108",117,23
"109",118,23
"110",119,17
"111",120,23
"112",121,29
"113",122,24
"114",123,26
"115",124,26
"116",125,26
"117",126,30
"118",127,28
"119",128,27
"120",129,26
"121",130,19
"122",131,26
"123",132,25
"124",133,24
"125",134,22
"126",135,22
"127",136,19
"128",137,18
"129",138,24
"130",139,24
"131",140,26
"132",141,26
"133",142,27
"134",143,29
"135",144,23
"136",145,29
"137",146,31
"138",147,23
"139",148,25
"140",149,24
"141",150,23
"142",151,23
"143",152,10
"144",153,14
"145",154,17
"146",155,16
"147",156,14
"148",157,14
"149",158,14
"150",159,14
"151",160,17
"152",161,19
"153",162,21
"154",163,17
"155",164,18
"156",165,19
"157",166,18
"158",167,17
"159",168,21
"160",169,18
"161",170,16
"162",171,19
"163",172,13
"164",173,24
"165",174,22
"166",175,17
"167",176,22
"168",177,19
"169",178,25
"170",179,25
"171",180,24
"172",181,20
"173",182,20
"174",183,28
"175",185,26
"176",186,23
"177",187,15
"178",188,20
"179",189,27
"180",190,22
"181",191,19
"182",192,22
"183",193,18
"184",194,23
"185",195,20
"186",196,22
"187",197,29
"188",198,19
"189",199,26
"190",200,30
