"","X","startTime","rt","key_press","riskyKey","red_marbles","blue_marbles","OtherChoseRisk","ChooseRisk","valueGamble","probGamble","Social1Ind0","payoff","cumulatedPayoff","valueSure","PercentBlueEstimate","HowSure","test_part","sex","age","subject","PercentBlueShownAbs","PercentRedShownAbs","PercentBlueShownRel","PercentRedShownRel","TotalNShown","Agegroup","DFE1DFD0"
"1",5903,"2018-07-20",13167,70,74,"1,3,0,2,0","0,1,1,0,1","NULL",0,50,0.375,"0",5,5,5,37,38,"SoloChoice","Weiblich",18,54,0.0666666666666667,0.133333333333333,"0.33",0.666666666666667,9,2,"1"
"2",5904,"2018-07-20",6661,74,70,"99","99","NULL",0,20,0.375,"0",5,10,5,37,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
"3",5905,"2018-07-20",6911,74,70,"1,4,1,2,0","0,0,0,0,1","NULL",0,20,0.125,"0",5,15,5,20,60,"SoloChoice","Weiblich",18,54,0.0222222222222222,0.177777777777778,"0.11",0.888888888888889,9,2,"1"
"4",5906,"2018-07-20",4488,70,70,"0,0,2,2,0","1,1,2,0,1","NULL",1,8,0.5,"0",0,15,5,48,60,"SoloChoice","Weiblich",18,54,0.111111111111111,0.0888888888888889,"0.56",0.444444444444444,9,2,"1"
"5",5907,"2018-07-20",8317,74,74,"99","99","NULL",1,50,0.375,"0",0,15,5,48,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
"6",5908,"2018-07-20",1967,70,74,"99","99","NULL",0,20,0.25,"0",5,20,5,48,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
"7",5909,"2018-07-20",3416,70,70,"1,3,0,2,0","0,1,1,0,1","NULL",1,20,0.375,"0",20,40,5,26,60,"SoloChoice","Weiblich",18,54,0.0666666666666667,0.133333333333333,"0.33",0.666666666666667,9,2,"1"
"8",5910,"2018-07-20",3032,70,74,"1,3,0,2,0","0,1,1,0,1","NULL",0,8,0.375,"0",5,45,5,30,61,"SoloChoice","Weiblich",18,54,0.0666666666666667,0.133333333333333,"0.33",0.666666666666667,9,2,"1"
"9",5911,"2018-07-20",3953,74,74,"99","99","NULL",1,50,0.675,"0",0,45,5,30,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
"10",5912,"2018-07-20",3594,70,74,"99","99","NULL",0,8,0.125,"0",5,50,5,30,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
"11",5913,"2018-07-20",3904,70,74,"99","99","NULL",0,20,0.125,"0",5,55,5,30,NA,"SoloChoice","Weiblich",18,54,2.2,2.2,"0.5",0.5,198,2,"0"
